2018-09-27 20:55:15,909 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: Close connection
2018-09-27 20:55:15,909 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 0][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2018-09-27 20:55:15,928 [DEBUG] org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
2018-09-27 20:55:15,929 [DEBUG] org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
2018-09-27 20:55:15,929 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
2018-09-27 20:55:15,929 [DEBUG] org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 1][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
2018-09-27 20:55:15,929 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
2018-09-27 20:55:15,930 [DEBUG] org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
2018-09-27 20:55:15,930 [DEBUG] org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:52245<->127.0.0.1:7055
2018-09-27 20:55:15,931 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/timeouts HTTP/1.1
2018-09-27 20:55:15,931 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
2018-09-27 20:55:15,931 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
2018-09-27 20:55:15,931 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> POST /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/timeouts HTTP/1.1
2018-09-27 20:55:15,931 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> Content-Type: application/json; charset=utf-8
2018-09-27 20:55:15,931 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> Content-Length: 30
2018-09-27 20:55:15,932 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> Host: 127.0.0.1:7055
2018-09-27 20:55:15,932 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> Connection: Keep-Alive
2018-09-27 20:55:15,932 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> User-Agent: Apache-HttpClient/4.3.6 (java 1.5)
2018-09-27 20:55:15,932 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> Accept-Encoding: gzip,deflate
2018-09-27 20:55:15,932 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "POST /hub/session/ed084045-96ff-4b6f-96df-d71fb6b6e094/timeouts HTTP/1.1[\r][\n]"
